domain,folder_path,bookmark_count
data.cityofnewyork.us,Bookmark Bar / Citography / DATA,12
www.jstor.org,Bookmark Bar / Citography / BOOKS JOURNALS,10
mitpress.mit.edu,Bookmark Bar / Citography / BOOKS JOURNALS,8
direct.mit.edu,Bookmark Bar / Citography / BOOKS JOURNALS,8
www.routledge.com,Bookmark Bar / Citography / BOOKS JOURNALS,6
onlinelibrary.wiley.com,Bookmark Bar / Citography / BOOKS JOURNALS,6
github.com,Bookmark Bar / Citography / TOOLS,5
archive.org,Bookmark Bar / Citography / BOOKS JOURNALS,5
www.upress.umn.edu,Bookmark Bar / Citography / BOOKS JOURNALS,5
www.youtube.com,Bookmark Bar / Citography / DATA,4
en.wikipedia.org,Bookmark Bar / Citography / WEB,4
github.com,Bookmark Bar / Citography / DATA,3
vimeo.com,Bookmark Bar / Citography / PROJECTS / ART,3
senseable.mit.edu,Bookmark Bar / Citography / PROJECTS / MAPS,3
www.wilsonquarterly.com,Bookmark Bar / Citography / WEB,3
www.google.be,Bookmark Bar / Citography / BOOKS JOURNALS,3
www.sciencedirect.com,Bookmark Bar / Citography / BOOKS JOURNALS,3
learn.adafruit.com,Bookmark Bar / Citography / TOOLS,2
nyc.maps.arcgis.com,Bookmark Bar / Citography / DATA,2
responsiblesensinglab.org,Bookmark Bar / Citography / PROJECTS / TECH,2
www.archdaily.com,Bookmark Bar / Citography / PROJECTS / ARCH,2
www.lexiconofdesignresearch.com,Bookmark Bar / Citography / PROJECTS / ARCH,2
cd-labor.de,Bookmark Bar / Citography / PROJECTS / ARCH,2
www.smoutallen.com,Bookmark Bar / Citography / PROJECTS / ARCH,2
www.iaacblog.com,Bookmark Bar / Citography / PROJECTS / ARCH,2
cardiffmiller.com,Bookmark Bar / Citography / PROJECTS / ART,2
julianoliver.com,Bookmark Bar / Citography / PROJECTS / ART,2
crew.brussels,Bookmark Bar / Citography / PROJECTS / ART,2
www.blasttheory.co.uk,Bookmark Bar / Citography / PROJECTS / ART,2
newart.city,Bookmark Bar / Citography / PROJECTS / ART,2
abelardogfournier.org,Bookmark Bar / Citography / PROJECTS / ART,2
www.jennyodell.com,Bookmark Bar / Citography / PROJECTS / ART,2
dzieje.pl,Bookmark Bar / Citography / WEB,2
failedarchitecture.com,Bookmark Bar / Citography / WEB,2
freedomhouse.org,Bookmark Bar / Citography / WEB,2
www.deslegte.com,Bookmark Bar / Citography / BOOKS JOURNALS,2
amps-research.com,Bookmark Bar / Citography / BOOKS JOURNALS,2
acme-journal.org,Bookmark Bar / Citography / BOOKS JOURNALS,2
www.aag.org,Bookmark Bar / Citography / BOOKS JOURNALS,2
link.springer.com,Bookmark Bar / Citography / BOOKS JOURNALS,2
interstices.ac.nz,Bookmark Bar / Citography / BOOKS JOURNALS,2
press.uchicago.edu,Bookmark Bar / Citography / BOOKS JOURNALS,2
press.princeton.edu,Bookmark Bar / Citography / BOOKS JOURNALS,2
actar.com,Bookmark Bar / Citography / BOOKS JOURNALS,2
www.versobooks.com,Bookmark Bar / Citography / BOOKS JOURNALS,2
www.wiley.com,Bookmark Bar / Citography / BOOKS JOURNALS,2
www.nai010.com,Bookmark Bar / Citography / BOOKS JOURNALS,2
print.odisee.be,Other Bookmarks,1
set.kuleuven.be,Other Bookmarks,1
www.kuleuven.be,Other Bookmarks,1
awa.schrijfhulp.be,Other Bookmarks,1
drive.google.com,Other Bookmarks,1
www.acsa-arch.org,Other Bookmarks,1
www.atelierromain.com,Bookmark Bar / praca,1
www.urbanplatform.com,Bookmark Bar / praca,1
urbain-ac.be,Bookmark Bar / praca,1
svs.gsfc.nasa.gov,Bookmark Bar / Citography / TOOLS,1
svd360.com,Bookmark Bar / Citography / TOOLS,1
geojson.io,Bookmark Bar / Citography / TOOLS,1
runwayml.com,Bookmark Bar / Citography / TOOLS,1
docs.circuitpython.org,Bookmark Bar / Citography / TOOLS,1
antiboredom.github.io,Bookmark Bar / Citography / TOOLS,1
freevectormaps.com,Bookmark Bar / Citography / TOOLS,1
planetpixelemporium.com,Bookmark Bar / Citography / TOOLS,1
www.gettyimages.co.uk,Bookmark Bar / Citography / TOOLS,1
tsdem.gitlab.io,Bookmark Bar / Citography / TOOLS,1
www.technologyreview.com,Bookmark Bar / Citography / TOOLS,1
docs.google.com,Bookmark Bar / Citography / TOOLS,1
www.wolframalpha.com,Bookmark Bar / Citography / TOOLS,1
zola.planning.nyc.gov,Bookmark Bar / Citography / TOOLS,1
www.nyc.gov,Bookmark Bar / Citography / TOOLS,1
blender.stackexchange.com,Bookmark Bar / Citography / TOOLS,1
app.diagrams.net,Bookmark Bar / Citography / TOOLS,1
portal.opentopography.org,Bookmark Bar / Citography / TOOLS,1
aistudio.google.com,Bookmark Bar / Citography / TOOLS,1
bellingcat.gitbook.io,Bookmark Bar / Citography / TOOLS,1
takeout.google.com,Bookmark Bar / Citography / TOOLS,1
gitlab.com,Bookmark Bar / Citography / TOOLS,1
heremaps.github.io,Bookmark Bar / Citography / TOOLS,1
docs.python.org,Bookmark Bar / Citography / TOOLS,1
monitor.eduroam.org,Bookmark Bar / Citography / DATA,1
grabcad.com,Bookmark Bar / Citography / DATA,1
www.datacentermap.com,Bookmark Bar / Citography / DATA,1
dgtlinfra.com,Bookmark Bar / Citography / DATA,1
www.datacenters.com,Bookmark Bar / Citography / DATA,1
dataxconnect.com,Bookmark Bar / Citography / DATA,1
en.wikipedia.org,Bookmark Bar / Citography / DATA,1
www.nyc.gov,Bookmark Bar / Citography / DATA,1
www.opencellid.org,Bookmark Bar / Citography / DATA,1
geoxc-apps.bd.esri.com,Bookmark Bar / Citography / PROJECTS / DATA VISUALISATIONS,1
datastories.maynoothuniversity.ie,Bookmark Bar / Citography / PROJECTS / DATA VISUALISATIONS,1
dktaylor916.github.io,Bookmark Bar / Citography / PROJECTS / DATA VISUALISATIONS,1
www.gdeltproject.org,Bookmark Bar / Citography / PROJECTS / DATA VISUALISATIONS,1
www.wired.com,Bookmark Bar / Citography / PROJECTS / DATA VISUALISATIONS,1
anatomyof.ai,Bookmark Bar / Citography / PROJECTS / DATA VISUALISATIONS,1
www.bestiario.org,Bookmark Bar / Citography / PROJECTS / DATA VISUALISATIONS,1
www.measurementlab.net,Bookmark Bar / Citography / PROJECTS / DATA VISUALISATIONS,1
www.aaronkoblin.com,Bookmark Bar / Citography / PROJECTS / DATA VISUALISATIONS,1
therefugeeproject.org,Bookmark Bar / Citography / PROJECTS / DATA VISUALISATIONS,1
flowingdata.com,Bookmark Bar / Citography / PROJECTS / DATA VISUALISATIONS,1
deck.gl,Bookmark Bar / Citography / PROJECTS / DATA VISUALISATIONS,1
www.fallen.io,Bookmark Bar / Citography / PROJECTS / DATA VISUALISATIONS,1
archive.org,Bookmark Bar / Citography / PROJECTS / DATA VISUALISATIONS,1
schweizerweltatlas.ch,Bookmark Bar / Citography / PROJECTS / DATA VISUALISATIONS,1
www.antoinedelach.com,Bookmark Bar / Citography / PROJECTS / DATA VISUALISATIONS,1
theyrule.net,Bookmark Bar / Citography / PROJECTS / DATA VISUALISATIONS,1
appliedinformation.group,Bookmark Bar / Citography / PROJECTS / DATA VISUALISATIONS,1
labs.rs,Bookmark Bar / Citography / PROJECTS / DATA VISUALISATIONS,1
extractivism.online,Bookmark Bar / Citography / PROJECTS / DATA VISUALISATIONS,1
this-person-does-not-exist.com,Bookmark Bar / Citography / PROJECTS / TECH,1
picturesofinfinity.net,Bookmark Bar / Citography / PROJECTS / TECH,1
exonemo.com,Bookmark Bar / Citography / PROJECTS / TECH,1
varcity.ethz.ch,Bookmark Bar / Citography / PROJECTS / TECH,1
field-works.net,Bookmark Bar / Citography / PROJECTS / TECH,1
www.mapillary.com,Bookmark Bar / Citography / PROJECTS / TECH,1
safecast.org,Bookmark Bar / Citography / PROJECTS / TECH,1
avs.auto,Bookmark Bar / Citography / PROJECTS / TECH,1
fhp.incom.org,Bookmark Bar / Citography / PROJECTS / TECH,1
aaron-meyers.com,Bookmark Bar / Citography / PROJECTS / TECH,1
www.creativeapplications.net,Bookmark Bar / Citography / PROJECTS / TECH,1
nearfuturelaboratory.com,Bookmark Bar / Citography / PROJECTS / TECH,1
citizensense.net,Bookmark Bar / Citography / PROJECTS / TECH,1
docs.smartcitizen.me,Bookmark Bar / Citography / PROJECTS / TECH,1
shaowenbardzell.com,Bookmark Bar / Citography / PROJECTS / TECH,1
www.landskip.ch,Bookmark Bar / Citography / PROJECTS / TECH,1
www.computationalarchitecturelab.org,Bookmark Bar / Citography / PROJECTS / TECH,1
unit-21.com,Bookmark Bar / Citography / PROJECTS / ARCH,1
www.instagram.com,Bookmark Bar / Citography / PROJECTS / ARCH,1
gifcritique.wixsite.com,Bookmark Bar / Citography / PROJECTS / ARCH,1
bureau-spectacular.net,Bookmark Bar / Citography / PROJECTS / ARCH,1
www.alephograph.com,Bookmark Bar / Citography / PROJECTS / ARCH,1
www.youandpea.com,Bookmark Bar / Citography / PROJECTS / ARCH,1
www.reuters.com,Bookmark Bar / Citography / PROJECTS / ARCH,1
www.punctr.art,Bookmark Bar / Citography / PROJECTS / ARCH,1
www.cabinetmagazine.org,Bookmark Bar / Citography / PROJECTS / ARCH,1
www.raisethecloud.org,Bookmark Bar / Citography / PROJECTS / ARCH,1
extractivismos.galeriareplica.cl,Bookmark Bar / Citography / PROJECTS / ARCH,1
trafficcollective.com,Bookmark Bar / Citography / PROJECTS / ARCH,1
vimeo.com,Bookmark Bar / Citography / PROJECTS / ARCH,1
www.urbantactics.org,Bookmark Bar / Citography / PROJECTS / ARCH,1
senseable.mit.edu,Bookmark Bar / Citography / PROJECTS / ARCH,1
dmjn.net,Bookmark Bar / Citography / PROJECTS / ARCH,1
lifeforms.io,Bookmark Bar / Citography / PROJECTS / ARCH,1
worldmaking.xyz,Bookmark Bar / Citography / PROJECTS / ARCH,1
medium.com,Bookmark Bar / Citography / PROJECTS / ARCH,1
www.aestheticsofexclusion.com,Bookmark Bar / Citography / PROJECTS / ARCH,1
www.joostgrootens.nl,Bookmark Bar / Citography / PROJECTS / ARCH,1
bplus.xyz,Bookmark Bar / Citography / PROJECTS / ARCH,1
numen.eu,Bookmark Bar / Citography / PROJECTS / ARCH,1
www.lydiajessup.me,Bookmark Bar / Citography / PROJECTS / ARCH,1
www.ultramoderne.net,Bookmark Bar / Citography / PROJECTS / ARCH,1
hortence.com,Bookmark Bar / Citography / PROJECTS / ARCH,1
www.aaronkoblin.com,Bookmark Bar / Citography / PROJECTS / ARCH,1
mkca.com,Bookmark Bar / Citography / PROJECTS / ARCH,1
futurearchitectureplatform.org,Bookmark Bar / Citography / PROJECTS / ARCH,1
stamen.com,Bookmark Bar / Citography / PROJECTS / ARCH,1
forensic-architecture.org,Bookmark Bar / Citography / PROJECTS / ARCH,1
situ.nyc,Bookmark Bar / Citography / PROJECTS / ARCH,1
carlijnkingma.com,Bookmark Bar / Citography / PROJECTS / ARCH,1
www.cristianotoraldodifrancia.it,Bookmark Bar / Citography / PROJECTS / ARCH,1
scanlabprojects.co.uk,Bookmark Bar / Citography / PROJECTS / ARCH,1
sketchfab.com,Bookmark Bar / Citography / PROJECTS / ARCH,1
normalfutu.re,Bookmark Bar / Citography / PROJECTS / ARCH,1
www.dwbowen.com,Bookmark Bar / Citography / PROJECTS / ARCH,1
cargocollective.com,Bookmark Bar / Citography / PROJECTS / ARCH,1
www.rsarchitecture-studio.com,Bookmark Bar / Citography / PROJECTS / ARCH,1
worldarchitecture.org,Bookmark Bar / Citography / PROJECTS / ARCH,1
issuu.com,Bookmark Bar / Citography / PROJECTS / ARCH,1
www.thinkarchitecture.net,Bookmark Bar / Citography / PROJECTS / ARCH,1
www.sharedcities.eu,Bookmark Bar / Citography / PROJECTS / ARCH,1
wordsinspace.net,Bookmark Bar / Citography / PROJECTS / ARCH,1
www.mathurdacunha.com,Bookmark Bar / Citography / PROJECTS / ARCH,1
beyondresolution.info,Bookmark Bar / Citography / PROJECTS / ART,1
www.artforum.com,Bookmark Bar / Citography / PROJECTS / ART,1
www.fictional-journal.com,Bookmark Bar / Citography / PROJECTS / ART,1
www.exparch.at,Bookmark Bar / Citography / PROJECTS / ART,1
starts-prize.aec.at,Bookmark Bar / Citography / PROJECTS / ART,1
www.joostgrootens.nl,Bookmark Bar / Citography / PROJECTS / ART,1
bigbangdata.cccb.org,Bookmark Bar / Citography / PROJECTS / ART,1
www.creativeapplications.net,Bookmark Bar / Citography / PROJECTS / ART,1
criticalengineering.org,Bookmark Bar / Citography / PROJECTS / ART,1
teaching.ellenmueller.com,Bookmark Bar / Citography / PROJECTS / ART,1
www.fondation-langlois.org,Bookmark Bar / Citography / PROJECTS / ART,1
www.mat.ucsb.edu,Bookmark Bar / Citography / PROJECTS / ART,1
www.theboxplymouth.com,Bookmark Bar / Citography / PROJECTS / ART,1
artsplastiques.univ-paris8.fr,Bookmark Bar / Citography / PROJECTS / ART,1
v2.nl,Bookmark Bar / Citography / PROJECTS / ART,1
proboscis.org.uk,Bookmark Bar / Citography / PROJECTS / ART,1
electricalwalks.org,Bookmark Bar / Citography / PROJECTS / ART,1
firstchoiceforlastplace.com,Bookmark Bar / Citography / PROJECTS / ART,1
christinakubisch.de,Bookmark Bar / Citography / PROJECTS / ART,1
pain.yugo.at,Bookmark Bar / Citography / PROJECTS / ART,1
constantvzw.org,Bookmark Bar / Citography / PROJECTS / ART,1
nearfuturelaboratory.com,Bookmark Bar / Citography / PROJECTS / ART,1
youtu.be,Bookmark Bar / Citography / PROJECTS / ART,1
depts.washington.edu,Bookmark Bar / Citography / PROJECTS / ART,1
www.dwbowen.com,Bookmark Bar / Citography / PROJECTS / ART,1
machinicprotocols.com,Bookmark Bar / Citography / PROJECTS / ART,1
www.elasticspace.com,Bookmark Bar / Citography / PROJECTS / ART,1
www.territorialagency.com,Bookmark Bar / Citography / PROJECTS / ART,1
